entry_dt,exit_dt,side,entry_px,exit_px,pnl,bars,entry_adx,entry_atr,regime,exit_reason
2025-01-17 16:10:00,2025-01-17 17:25:00,LONG,104235.39955692232,105212.78011201834,3.606745824410809,15.0,29.202251464808214,272.3504287841818,1,TP
2025-01-17 17:25:00,2025-01-17 17:30:00,SHORT,105212.78011201834,105212.78011201834,-0.8707920968668503,,28.93651946648942,281.8011124424548,1,EXIT_SHORT
2025-01-17 17:40:00,2025-01-17 17:45:00,SHORT,104235.39955692232,104235.39955692232,-17.103115422349756,,24.49776715100828,293.9782704213096,1,EXIT_SHORT
2025-01-17 19:10:00,2025-01-17 19:25:00,LONG,105003.43431519752,105683.2767637595,2.1790002892370497,3.0,22.55894066282912,253.79769916067107,1,TP
2025-01-17 19:25:00,2025-01-17 19:30:00,SHORT,105683.2767637595,105683.2767637595,4.32264112561716,,23.01134595476203,256.7221492206235,1,EXIT_SHORT
2025-01-17 20:40:00,2025-01-17 22:05:00,SHORT,105003.43431519752,105003.43431519752,9.907880518945568,,21.356104419412564,217.56114514932355,1,EXIT_SHORT
2025-01-18 13:55:00,2025-01-18 14:35:00,LONG,104087.44604104757,103790.8772660689,-2.380690456853082,8.0,24.543711109178435,218.87296249618137,0,SL
2025-01-18 14:35:00,2025-01-18 14:40:00,SHORT,103790.8772660689,103790.8772660689,-14.498660335293096,,22.89531817183619,223.33203660359615,0,EXIT_SHORT
2025-01-18 15:35:00,2025-01-18 15:40:00,SHORT,104680.5835910049,104680.5835910049,-15.463229866896027,,20.373632815699356,221.0241301742372,0,EXIT_SHORT
2025-01-19 06:25:00,2025-01-19 07:45:00,LONG,105252.49262298405,104995.62203151692,-2.160417458870202,16.0,19.191278071543138,145.90939730018798,1,SL
2025-01-19 07:45:00,2025-01-19 07:50:00,SHORT,104995.62203151692,104995.62203151692,-19.377659648367246,,18.080097548553233,150.01658320731767,1,EXIT_SHORT
2025-01-19 14:25:00,2025-01-19 14:40:00,LONG,105402.38946416759,105036.7595400637,-2.655769913923264,3.0,21.629081993051376,267.76597017888,1,SL
2025-01-19 14:40:00,2025-01-19 14:45:00,SHORT,105036.7595400637,105036.7595400637,-11.521250913914,,21.750733659497186,268.0684008803886,1,EXIT_SHORT
2025-01-19 19:15:00,2025-01-19 19:50:00,LONG,105302.4838717118,105766.23380591831,1.163308155133051,7.0,26.68512327539477,137.8961695844271,1,TP
2025-01-19 19:50:00,2025-01-19 20:00:00,SHORT,105869.46125657884,105869.46125657884,-64.23459060773109,,32.91777842285009,171.34271765187938,1,EXIT_SHORT
2025-01-19 21:25:00,2025-01-19 21:30:00,SHORT,105302.4838717118,105302.4838717118,51.010085537013076,,29.24510031144219,363.5030290543473,0,EXIT_SHORT
2025-01-20 11:35:00,2025-01-20 12:10:00,LONG,108352.07,107845.6491523203,-3.2235436289603445,7.0,11.900496838909886,369.1418076242211,1,SL
2025-01-20 12:10:00,2025-01-20 12:15:00,SHORT,107845.6491523203,107845.6491523203,17.048471206765736,,14.755658477186289,472.4173927939196,1,EXIT_SHORT
2025-01-21 18:30:00,2025-01-21 20:40:00,LONG,106546.04786361058,105953.21064755844,-3.679228338545882,26.0,26.307000696008885,340.4608169487089,1,SL
2025-01-21 20:40:00,2025-01-21 20:45:00,SHORT,105953.21064755844,105953.21064755844,-22.245079368968753,,26.45560339651797,329.89933002380155,1,EXIT_SHORT
2025-01-22 12:15:00,2025-01-22 12:30:00,LONG,105524.04329086012,105271.39277725897,-2.123039375912354,3.0,20.67893571267742,155.2738249226729,1,SL
2025-01-22 12:30:00,2025-01-22 12:35:00,SHORT,105271.39277725897,105271.39277725897,-16.71141481461344,,20.577153260524536,154.5149802853387,1,EXIT_SHORT
2025-01-23 14:50:00,2025-01-23 22:05:00,SHORT,106029.34431806242,106029.34431806242,184.7762272453164,,23.431434776324213,610.3778511868748,1,EXIT_SHORT
2025-01-24 07:35:00,2025-01-24 08:10:00,LONG,104746.0,105234.29329945466,1.3087997242051466,7.0,29.177200966826867,161.92861393399497,1,TP
2025-01-24 08:10:00,2025-01-24 08:15:00,SHORT,105234.29329945466,105234.29329945466,-14.377297042043164,,30.228998331919467,158.52228436728038,1,EXIT_SHORT
2025-01-24 09:20:00,2025-01-24 09:30:00,LONG,105644.96300453895,105409.8511497411,-2.079213075272073,2.0,41.27740063609118,163.0424437443413,1,SL
2025-01-24 09:30:00,2025-01-24 09:35:00,SHORT,105409.8511497411,105409.8511497411,-16.62848928072678,,39.24529273568792,167.14798347688867,1,EXIT_SHORT
2025-01-24 13:00:00,2025-01-24 13:05:00,LONG,105629.35111716644,105435.05732499088,-1.8858792311143087,1.0,19.98260737606381,150.44139515630505,0,SL
